StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7_NPS_GROUP,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26
11/15/20 21:48,11/15/20 21:54,IP Address,47.42.104.36,100,385,TRUE,11/15/20 21:54,R_6Vumv1dtNEIaMiB,,,,,32.94749451,-96.44069672,anonymous,EN,Yes,40,Female,Master's degree,Employed,Kroger,Detractor,6,Agree,Agree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree
11/15/20 21:52,11/15/20 21:56,IP Address,173.172.16.177,100,258,TRUE,11/15/20 21:56,R_32JwA2S4C8JRDjM,,,,,33.18539429,-96.13040161,anonymous,EN,Yes,24,Female,Bachelor's degree,Student,walmart,Passive,8,Somewhat disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree
11/15/20 22:35,11/15/20 22:39,IP Address,23.120.213.252,100,255,TRUE,11/15/20 22:39,R_3FWisPB6eUZMvak,,,,,32.85479736,-97.08190155,anonymous,EN,Yes,30,Male,Master's degree,Employed,WalMart,Detractor,5,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Agree,Neither agree nor disagree
11/15/20 23:55,11/16/20 00:00,IP Address,183.83.143.60,100,278,TRUE,11/16/20 00:00,R_2ZUIT7pCZUqSJzb,,,,,17.38400269,78.45639038,anonymous,EN,Yes,30,Male,Master's degree,Student,Amazon,Promoter,9,Agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat disagree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree
11/16/20 06:55,11/16/20 06:55,IP Address,76.184.83.165,100,17,TRUE,11/16/20 06:55,R_qPysVQAiY0lzhZL,,,,,32.83099365,-96.76920319,social,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/20 07:32,11/16/20 07:32,IP Address,97.99.16.83,100,7,TRUE,11/16/20 07:32,R_3kiEANx92SAGrO3,,,,,32.95030212,-96.81900024,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/20 07:33,11/16/20 07:35,IP Address,73.136.116.226,100,103,TRUE,11/16/20 07:35,R_2PjpyGYanNwXhw0,,,,,29.57200623,-95.54000092,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/20 08:41,11/16/20 08:41,IP Address,24.160.30.161,100,19,TRUE,11/16/20 08:41,R_2S0Tqln2R7wIJ4n,,,,,26.16499329,-97.98919678,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/20 09:18,11/16/20 09:22,IP Address,72.190.100.225,100,264,TRUE,11/16/20 09:22,R_plLgxNl13YbV5zX,,,,,32.91029358,-96.728302,anonymous,EN,Yes,25,Female,Master's degree,Employed,costco ,Promoter,9,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree
11/16/20 09:24,11/16/20 09:26,IP Address,68.232.25.51,100,104,TRUE,11/16/20 09:26,R_1eXBOGC9sVXchOD,,,,,33.24339294,-95.91100311,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/20 10:07,11/16/20 10:08,IP Address,208.127.224.89,100,51,TRUE,11/16/20 10:08,R_10pCojTiJaFbzLy,,,,,35.58380127,-80.86399841,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/20 11:05,11/16/20 11:06,IP Address,75.28.17.188,100,42,TRUE,11/16/20 11:06,R_3k6qZK58Bwmch1H,,,,,33.19760132,-96.61779785,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/20 11:22,11/16/20 11:22,IP Address,165.225.216.225,100,19,TRUE,11/16/20 11:22,R_3D7UR3Dqhe553r1,,,,,32.77870178,-96.82170105,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/20 11:31,11/16/20 11:35,IP Address,68.201.218.49,100,194,TRUE,11/16/20 11:35,R_2CHyuQgKsiALvCg,,,,,29.7026062,-98.47589874,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/20 13:00,11/16/20 13:00,IP Address,76.184.160.136,100,11,TRUE,11/16/20 13:00,R_3Jk0MBHjHwr8igc,,,,,33.10470581,-96.09269714,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/20 15:38,11/16/20 15:39,IP Address,174.246.139.1,100,30,TRUE,11/16/20 15:39,R_PFpQoPcDf5rYQdb,,,,,33.07800293,-97.06729889,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/20 17:11,11/16/20 17:11,IP Address,76.184.167.228,100,9,TRUE,11/16/20 17:11,R_w7y0PKh2r9x1wWZ,,,,,33.10470581,-96.09269714,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/20 17:46,11/16/20 17:57,IP Address,68.203.70.180,100,641,TRUE,11/16/20 17:57,R_DRYgyJcSFFARUk1,,,,,32.89639282,-96.8635025,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/20 19:49,11/16/20 19:52,IP Address,96.231.100.145,100,140,TRUE,11/16/20 19:52,R_vdFrE3s5tr9ZapP,,,,,38.45550537,-77.43260193,anonymous,EN,Yes,36,Female,Bachelor's degree,Employed,Walmart,Promoter,10,Neither agree nor disagree,Somewhat disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Strongly agree
11/16/20 20:07,11/16/20 20:07,IP Address,47.187.36.227,100,24,TRUE,11/16/20 20:07,R_2fjoymqV4l81Euk,,,,,32.84890747,-96.96669769,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/20 20:07,11/16/20 20:11,IP Address,47.187.36.227,100,190,TRUE,11/16/20 20:11,R_barOUwtoodvHqNP,,,,,32.84890747,-96.96669769,anonymous,EN,Yes,37,Male,Master's degree,Employed,wallmart,Detractor,6,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
11/16/20 20:29,11/16/20 20:34,IP Address,50.196.141.94,100,270,TRUE,11/16/20 20:34,R_3EhfgAmF2RsKNPT,,,,,37.16140747,-121.9871979,anonymous,EN,Yes,25,Male,Bachelor's degree,Student,Post Mates,Promoter,9,Strongly disagree,Somewhat agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree
11/16/20 22:30,11/16/20 22:33,IP Address,68.203.165.97,100,223,TRUE,11/16/20 22:33,R_3rHTyOAoOTVBTJH,,,,,32.66090393,-97.03420258,anonymous,EN,Yes,33,Male,Bachelor's degree,Employed,"Costco, Walmart. Kroger",Promoter,9,Agree,Agree,Somewhat disagree,Somewhat agree,Agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree
11/16/20 23:34,11/16/20 23:38,IP Address,70.133.255.84,100,250,TRUE,11/16/20 23:38,R_3qHvBylBHrmR0F4,,,,,33.19760132,-96.61779785,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 00:11,11/17/20 00:11,IP Address,64.189.106.72,100,14,TRUE,11/17/20 00:11,R_Ah9PjHyrmpi8Pol,,,,,33.24339294,-95.91100311,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 00:14,11/17/20 00:14,IP Address,107.211.230.33,100,11,TRUE,11/17/20 00:14,R_12yu8mSYNOEFmoG,,,,,29.75019836,-95.47100067,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 00:11,11/17/20 00:15,IP Address,64.189.106.72,100,206,TRUE,11/17/20 00:15,R_2uqWpAlhIq9H2YT,,,,,33.24339294,-95.91100311,anonymous,EN,Yes,21,Male,Associate degree,Student,Walmart pickup,Passive,7,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
11/17/20 00:31,11/17/20 00:36,IP Address,66.68.199.57,100,282,TRUE,11/17/20 00:36,R_2pWPn13czqjl45i,,,,,33.18539429,-96.13040161,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 05:15,11/17/20 05:19,IP Address,67.177.201.105,100,236,TRUE,11/17/20 05:19,R_1hxPG3MCDJfxOFL,,,,,39.95399475,-105.0122986,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 05:19,11/17/20 05:36,IP Address,67.177.201.105,100,985,TRUE,11/17/20 05:36,R_2OGCtkjlrcMduJC,,,,,39.95399475,-105.0122986,anonymous,EN,Yes,43,Male,Bachelor's degree,Employed,Walmart,Promoter,10,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree
11/17/20 07:55,11/17/20 07:55,IP Address,4.17.94.147,100,27,TRUE,11/17/20 07:55,R_3dYsNB8bZdZDgFM,,,,,29.89729309,-95.64630127,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 08:08,11/17/20 08:09,IP Address,170.48.19.247,100,38,TRUE,11/17/20 08:09,R_sju3iOB2JIfUmpr,,,,,41.53819275,-72.80079651,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 08:09,11/17/20 08:12,IP Address,170.48.19.247,100,177,TRUE,11/17/20 08:12,R_22Q4RnyeuMSlQDN,,,,,41.53819275,-72.80079651,anonymous,EN,Yes,32,Female,Bachelor's degree,Employed,INSTACART,Promoter,10,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree
11/17/20 11:18,11/17/20 11:21,IP Address,47.184.151.153,100,183,TRUE,11/17/20 11:21,R_3KVXUikLJTSvjql,,,,,32.95219421,-96.66539764,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 11:25,11/17/20 11:29,IP Address,47.189.38.221,100,270,TRUE,11/17/20 11:29,R_wNaioGl3LFlXRsZ,,,,,32.93460083,-96.55439758,anonymous,EN,Yes,52,Male,Bachelor's degree,Unemployed,HelloFresh,Promoter,9,Somewhat agree,Agree,Disagree,Agree,Somewhat agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Somewhat agree,Agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree
11/17/20 12:13,11/17/20 12:26,IP Address,50.239.216.94,100,752,TRUE,11/17/20 12:26,R_egqVdYTEKVWtZyF,,,,,39.9552002,-76.66529846,anonymous,EN,Yes,67,Male,High school,Self-employed,Whole foods,Detractor,5,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree
11/17/20 13:46,11/17/20 13:46,IP Address,52.128.53.251,100,13,TRUE,11/17/20 13:46,R_2EEQPm2Dcnsj3CD,,,,,32.96580505,-97.68659973,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 13:41,11/17/20 13:47,IP Address,173.172.54.114,100,375,TRUE,11/17/20 13:47,R_25skThfSaaBw2LI,,,,,33.10470581,-96.09269714,anonymous,EN,Yes,24,Female,Bachelor's degree,Student,walmart,Passive,7,Somewhat agree,Somewhat disagree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Agree
11/17/20 14:26,11/17/20 14:31,IP Address,47.188.87.180,100,306,TRUE,11/17/20 14:31,R_2SDdew946aBzXYp,,,,,33.02859497,-96.87359619,anonymous,EN,Yes,43,Male,Bachelor's degree,Employed,Amazon/Whole Foods,Promoter,10,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Agree
11/17/20 14:52,11/17/20 14:55,IP Address,76.184.160.136,100,201,TRUE,11/17/20 14:55,R_22z9z1pIOujX2VU,,,,,33.10470581,-96.09269714,anonymous,EN,Yes,29,Male,Master's degree,Student,Kroger,Detractor,6,Agree,Agree,Somewhat agree,Strongly agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Strongly agree,Agree,Disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree
11/17/20 14:50,11/17/20 14:56,IP Address,76.184.170.161,100,358,TRUE,11/17/20 14:56,R_1DMBo7erHUE4HLl,,,,,33.10470581,-96.09269714,anonymous,EN,Yes,24,Male,Master's degree,Employed,Amazon,Passive,8,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Agree,Disagree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Agree
11/17/20 14:53,11/17/20 14:58,IP Address,172.58.110.206,100,288,TRUE,11/17/20 14:58,R_1E4MdnfA3E2CqKA,,,,,32.71009827,-96.8526001,anonymous,EN,Yes,30,Female,Master's degree,Employed,Amazon ,Passive,8,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
11/17/20 15:00,11/17/20 15:02,IP Address,76.85.64.49,100,105,TRUE,11/17/20 15:02,R_22VxlSnLYG0aNTN,,,,,33.03909302,-97.07640076,anonymous,EN,Yes,26,Male,Master's degree,Student,Walmart ,Passive,8,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
11/17/20 15:04,11/17/20 15:04,IP Address,107.77.245.12,100,21,TRUE,11/17/20 15:04,R_1BRfKvf83lOj4UN,,,,,33.4683075,-112.0549011,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 14:59,11/17/20 15:05,IP Address,97.75.69.98,100,343,TRUE,11/17/20 15:05,R_eVwS8zWvespjFuh,,,,,32.86839294,-96.93840027,anonymous,EN,Yes,26,Female,Master's degree,Employed,"Amazon, yami buy, lancome, nordstrom",Passive,7,Strongly agree,Agree,Somewhat agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Disagree,Disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree
11/17/20 15:08,11/17/20 15:08,IP Address,47.185.216.175,100,16,TRUE,11/17/20 15:08,R_21cd9CD2eBCYtL1,,,,,33.02870178,-96.68260193,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 15:40,11/17/20 15:43,IP Address,8.6.112.149,100,217,TRUE,11/17/20 15:43,R_2V9LgTXBymbZl7x,,,,,32.77870178,-96.82170105,anonymous,EN,Yes,31,Male,Bachelor's degree,Student,Walmart,Passive,7,Somewhat disagree,Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Disagree,Disagree,Somewhat disagree,Somewhat agree,Somewhat disagree
11/17/20 15:58,11/17/20 15:58,IP Address,172.58.229.168,100,9,TRUE,11/17/20 15:58,R_2YKYNgN4g1LOGat,,,,,40.86219788,-73.89019775,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 15:59,11/17/20 15:59,IP Address,172.58.231.140,100,16,TRUE,11/17/20 15:59,R_129EH0wEd0890EM,,,,,40.84700012,-73.86160278,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 16:20,11/17/20 16:31,IP Address,106.217.252.50,100,638,TRUE,11/17/20 16:31,R_1o0iJqteCDbijX2,,,,,16.50740051,80.64660645,anonymous,EN,Yes,60,Male,Master's degree,Retired,Modern Supermarket ,Promoter,10,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Somewhat agree
11/17/20 16:30,11/17/20 16:33,IP Address,172.58.109.144,100,198,TRUE,11/17/20 16:33,R_yP8SitLs5tgC3oB,,,,,32.7507019,-97.20950317,anonymous,EN,Yes,31,Male,Master's degree,Student,Walmart,Passive,8,Agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree
11/17/20 17:06,11/17/20 17:06,IP Address,76.184.172.191,100,9,TRUE,11/17/20 17:06,R_Dk6vWhoV8j5ME3D,,,,,33.18539429,-96.13040161,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 17:21,11/17/20 17:29,IP Address,97.99.23.183,100,451,TRUE,11/17/20 17:29,R_2ZJmroK97LaIaQh,,,,,32.95030212,-96.81900024,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 17:29,11/17/20 17:29,IP Address,76.183.170.37,100,8,TRUE,11/17/20 17:29,R_UrWz81nt8VSA72V,,,,,32.82359314,-96.68139648,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 17:29,11/17/20 17:30,Spam,97.99.23.183,100,68,TRUE,11/17/20 17:30,R_ROGrVewXAq5W6rf,,,,,32.95030212,-96.81900024,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 17:31,11/17/20 17:38,IP Address,174.255.131.122,100,433,TRUE,11/17/20 17:38,R_3fpnnQSUFj578uK,,,,,32.77870178,-96.82170105,anonymous,EN,Yes,28,Female,Master's degree,Employed,Walmart,Passive,8,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
11/17/20 17:46,11/17/20 17:46,IP Address,173.172.16.8,100,12,TRUE,11/17/20 17:46,R_1pRwcKy2FnlQfOW,,,,,33.18539429,-96.13040161,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 18:06,11/17/20 18:09,IP Address,73.97.23.49,100,197,TRUE,11/17/20 18:09,R_3PTd3T9Q2YOVcqF,,,,,47.61759949,-122.142395,anonymous,EN,Yes,28,Female,Master's degree,Student,"Apna Bazar, Amazon fresh etc",Passive,8,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree
11/17/20 18:09,11/17/20 18:13,IP Address,70.119.135.192,100,204,TRUE,11/17/20 18:13,R_T0iKASjc3VvVd1T,,,,,33.00360107,-96.88339996,anonymous,EN,Yes,22,Female,Bachelor's degree,Student,Amazon fresh,Promoter,9,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Somewhat agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree
11/17/20 18:41,11/17/20 18:43,IP Address,97.94.200.14,100,137,TRUE,11/17/20 18:43,R_1Q60e0FUKcq8dYa,,,,,33.14520264,-97.06990051,anonymous,EN,Yes,30,Female,Master's degree,Employed,sam's club,Passive,7,Somewhat disagree,Somewhat agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree
11/17/20 20:38,11/17/20 20:42,IP Address,124.218.133.75,100,218,TRUE,11/17/20 20:42,R_1jqvNE8RH1WUHOJ,,,,,22.61480713,120.3139038,anonymous,EN,Yes,26,Male,Master's degree,Unemployed,"Uber eat, Food Panda",Detractor,5,Somewhat disagree,Somewhat agree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree
11/17/20 21:05,11/17/20 21:11,IP Address,99.7.165.244,100,320,TRUE,11/17/20 21:11,R_3MuKYjI6bdkxr8V,,,,,32.85450745,-97.1359024,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 21:20,11/17/20 21:21,IP Address,98.158.241.108,100,28,TRUE,11/17/20 21:21,R_1eLEUuOO80giMoT,,,,,30.50340271,-97.74939728,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/20 21:18,11/17/20 21:29,IP Address,64.189.106.87,100,698,TRUE,11/17/20 21:29,R_10oPcrsAxJaGQrD,,,,,33.24310303,-95.91120148,anonymous,EN,Yes,29,Male,Master's degree,Student,grubhub,Passive,7,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree
11/18/20 07:31,11/18/20 07:31,IP Address,74.211.46.106,100,17,TRUE,11/18/20 07:31,R_1nZTYwMUqTl1x2d,,,,,38.72999573,-104.7536011,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/20 18:10,11/18/20 18:14,IP Address,72.182.208.35,100,241,TRUE,11/18/20 18:14,R_xxcEpOH1QdTHaGB,,,,,32.84890747,-96.96669769,anonymous,EN,Yes,24,Male,Bachelor's degree,Employed,"amazon, wholefood,walmart+",Passive,8,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Agree,Agree
11/18/20 19:13,11/18/20 19:14,IP Address,76.107.243.26,100,7,TRUE,11/18/20 19:14,R_12g96idPrSptTa1,,,,,34.25149536,-88.72080231,anonymous,EN,No,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/20 16:03,11/12/20 16:03,IP Address,96.49.56.10,7,6,FALSE,11/19/20 16:03,R_1PTTgpLMeY8tHO0,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/20 16:39,11/12/20 16:44,IP Address,172.58.187.208,93,271,FALSE,11/19/20 16:44,R_21buSmuhBRQexAj,,,,,,,anonymous,EN,Yes,25,Male,Bachelor's degree,Employed,Walmart & Amazon ,Promoter,10,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Somewhat agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,,
